Designator,Mid X,Mid Y,Rotation,Layer
_4,111.6025,-53.802499,0.0,top
_3,56.702503,-53.852499,0.0,top
_2,111.5775,-120.802499,0.0,top
,56.677503,-120.852499,0.0,top
C1,62.848959,-113.775,0.0,top
C2,76.873959,-113.625,0.0,top
C3,106.303541,-69.402499,180.0,top
C4,106.303541,-86.602499,180.0,top
C5,90.429999,-69.251395,270.0,top
C6,74.649999,-69.311396,270.0,top
C7,63.849999,-69.451395,270.0,top
J1,101.5275,-55.702499,0.0,top
J2,65.9,-84.75,0.0,top
J3,82.73,-55.885,0.0,top
J4,65.99,-55.915,0.0,top
R1,96.375,-105.825,90.0,top
R2,91.724998,-106.079999,90.0,top
R3,90.8775,-120.202499,180.0,top
R4,90.87,-115.37,180.0,top
R5,79.66,-77.08,0.0,top
R6,64.27,-76.73,0.0,top
R7,73.875,-61.775,180.0,top
R8,56.04,-66.909999,270.0,top
U1,107.82,-106.234999,0.0,top
U2,89.340002,-88.560001,90.0,top
U3,89.310001,-88.57,90.0,top
